0,19,25,20,6,9,31,26,28
1,28,21,12,22,30,0,18,19
2,4,13,24,8,23,10,21,17
3,29,15,14,16,27,5,7,9
4,2,13,24,8,10,17,12,23
5,14,15,16,29,27,7,4,3
6,9,0,26,20,25,19,31,28
7,16,14,5,27,3,15,4,2
8,13,24,17,4,2,10,23,25
9,25,6,19,20,31,0,26,28
10,13,23,24,17,8,4,2,25
11,18,30,22,12,21,28,1,19
12,22,21,28,1,30,11,4,18
13,24,8,10,17,23,4,2,25
14,16,15,3,5,27,7,29,4
15,27,29,3,14,5,16,25,19
16,14,3,7,27,15,5,29,9
17,13,24,8,23,10,4,2,5
18,30,11,22,21,28,12,1,25
19,25,9,0,20,31,6,26,28
20,9,25,0,6,19,31,26,28
21,28,22,12,1,30,18,25,2
22,28,12,21,30,1,18,11,25
23,13,10,17,2,8,24,4,21
24,13,8,4,2,17,10,23,29
25,9,19,0,20,6,31,26,28
26,6,0,25,9,19,20,31,28
27,15,29,14,16,3,5,31,19
28,21,22,1,12,18,30,25,0
29,15,3,27,5,14,16,24,19
30,18,22,11,21,12,28,1,25
31,9,20,0,25,19,6,26,27
